file	percent	reads	taxon_id	taxon_name
kaiju.out	15.465896	308688	55507	Schwartzia succinivorans
kaiju.out	12.757531	254631	1004304	Hydrotalea sandarakina
kaiju.out	8.060514	160882	1736532	Massilia sp. Root418
